,person,cluster,centroid_latitude,centroid_longitude,count,count_per_person,mean_duration_mins_weekend,mean_duration_mins_workday,mean_start_mins_of_day_weekend,mean_start_mins_of_day_workday,std_duration_mins_weekend,std_duration_mins_workday,std_start_mins_of_day_weekend,std_start_mins_of_day_workday,min_duration_mins_weekend,min_duration_mins_workday,min_start_mins_of_day_weekend,min_start_mins_of_day_workday,max_duration_mins_weekend,max_duration_mins_workday,max_start_mins_of_day_weekend,max_start_mins_of_day_workday,count_duration_mins_weekend,count_duration_mins_workday,count_start_mins_of_day_weekend,count_start_mins_of_day_workday
186,person3,28,51.13729575000001,4.428786400000001,4,3,0.0,5.333333333333333,0.0,871.6666666666666,0.0,6.8068592855540455,0.0,375.209719134957,0,0,0,448,0,13,0,1162,0,3,0,3
187,person3,53,51.1035745,4.4345669999999995,2,1,0.0,0.0,0.0,1087.0,,,,,0,0,0,1087,0,0,0,1087,0,1,0,1
188,person3,66,51.23075132692307,4.403832065384615,52,48,156.94736842105263,53.89655172413793,861.7894736842105,1007.0344827586207,141.42743474391952,55.25095010662467,213.06117508238185,181.11469979755535,0,0,658,485,398,164,1270,1194,19,29,19,29
189,person3,79,51.16855925,4.386280374999999,4,1,0.0,10.0,0.0,915.0,,,,,0,10,0,915,0,10,0,915,0,1,0,1
190,person3,84,50.977643750000006,4.490334425,4,3,3.0,1.5,648.0,1142.0,0.0,0.7071067811865476,0.0,86.2670273047588,3,1,648,1081,3,2,648,1203,1,2,1,2
191,person3,86,51.19824575,4.3718304,4,1,0.0,11.0,0.0,882.0,,,,,0,11,0,882,0,11,0,882,0,1,0,1
192,person3,87,51.15744889473683,4.385717168421054,19,10,20.0,18.444444444444443,968.0,778.1111111111111,0.0,19.73645808593269,0.0,60.27114658865477,20,1,968,699,20,63,968,890,1,9,1,9
193,person3,107,51.0542,4.4471655,1,1,0.0,8.0,0.0,1003.0,,,,,0,8,0,1003,0,8,0,1003,0,1,0,1
194,person3,108,50.9073225,4.7129940999999995,2,2,2.0,1.0,1005.0,1035.0,,,,,2,1,1005,1035,2,1,1005,1035,1,1,1,1
195,person3,109,50.953205,4.7989120000000005,1,1,0.0,0.0,0.0,1041.0,,,,,0,0,0,1041,0,0,0,1041,0,1,0,1
196,person3,110,50.951118208333305,4.889894545833333,96,96,254.84848484848484,379.8888888888889,537.6060606060606,839.7936507936508,366.3711507143508,313.62619578250093,419.9552014347735,455.59511448887844,1,1,37,69,1106,997,1402,1405,33,63,33,63
197,person3,111,50.98492,4.7615323,1,1,0.0,16.0,0.0,409.0,,,,,0,16,0,409,0,16,0,409,0,1,0,1
198,person3,112,50.886951,4.6697135,2,2,0.0,3.0,767.0,870.0,,,,,0,3,767,870,0,3,767,870,1,1,1,1
199,person3,113,51.00143,4.647407866666668,3,3,0.0,7.333333333333333,0.0,1104.0,0.0,5.131601439446884,0.0,12.12435565298214,0,3,0,1091,0,13,0,1115,0,3,0,3
200,person3,114,50.982271499999996,4.5145990000000005,2,2,0.0,2.0,0.0,434.0,0.0,2.8284271247461903,0.0,2.8284271247461903,0,0,0,432,0,4,0,436,0,2,0,2
201,person3,115,50.87136699999999,4.49246505,4,4,0.0,16.75,0.0,789.5,0.0,15.966109941581472,0.0,44.79211240088295,0,3,0,729,0,37,0,829,0,4,0,4
202,person3,116,50.985806,4.568868,1,1,0.0,8.0,0.0,431.0,,,,,0,8,0,431,0,8,0,431,0,1,0,1
203,person3,117,51.16511200000001,4.4146503500000005,2,2,0.0,5.0,0.0,1136.0,0.0,4.242640687119285,0.0,100.40916292848975,0,2,0,1065,0,8,0,1207,0,2,0,2
204,person3,118,50.986168,4.4115853,1,1,0.0,0.0,0.0,1075.0,,,,,0,0,0,1075,0,0,0,1075,0,1,0,1
205,person3,119,50.89833685714286,4.683154,7,7,2.0,2.4,820.5,1148.2,0.0,2.5099800796022267,314.66251762801363,81.161567259387,2,0,598,1076,2,6,1043,1248,2,5,2,5
206,person3,120,50.94675,4.776243,1,1,0.0,0.0,0.0,1109.0,,,,,0,0,0,1109,0,0,0,1109,0,1,0,1
207,person3,121,51.180820000000004,4.369618,1,1,1.0,0.0,771.0,0.0,,,,,1,0,771,0,1,0,771,0,1,0,1,0
208,person3,122,50.979137333333334,4.860338133333333,3,3,28.0,0.0,629.6666666666666,0.0,27.2213151776324,0.0,19.604421270043495,0.0,8,0,609,0,59,0,648,0,3,0,3,0
209,person3,123,50.978184000000006,4.629918599999999,1,1,0.0,1.0,0.0,401.0,,,,,0,1,0,401,0,1,0,401,0,1,0,1
210,person3,124,51.1504975,4.428738350000001,2,2,0.0,5.0,0.0,1103.0,0.0,7.0710678118654755,0.0,69.29646455628166,0,0,0,1054,0,10,0,1152,0,2,0,2
211,person3,125,51.061382,4.442024,1,1,0.0,0.0,0.0,1061.0,,,,,0,0,0,1061,0,0,0,1061,0,1,0,1
212,person3,126,50.905807,4.8701878,1,1,9.0,0.0,795.0,0.0,,,,,9,0,795,0,9,0,795,0,1,0,1,0
213,person3,127,50.9931755,4.5299898249999995,4,4,5.0,8.5,752.5,456.0,2.8284271247461903,10.606601717798213,130.8147545195113,50.91168824543142,3,1,660,420,7,16,845,492,2,2,2,2
214,person3,128,50.871685,4.7272495999999995,1,1,0.0,15.0,0.0,1057.0,,,,,0,15,0,1057,0,15,0,1057,0,1,0,1
215,person3,129,50.865007,4.7391982,3,3,23.0,215.0,614.5,1084.0,31.11269837220809,0.0,14.849242404917497,0.0,1,215,604,1084,45,215,625,1084,2,1,2,1
216,person3,130,50.96631,4.8364188,3,3,3.0,3.5,1146.0,407.0,0.0,0.7071067811865476,0.0,59.39696961966999,3,3,1146,365,3,4,1146,449,1,2,1,2
217,person3,131,50.994118,4.6035223,1,1,0.0,3.0,0.0,480.0,,,,,0,3,0,480,0,3,0,480,0,1,0,1
